Country,EdLevel,YearsCodePro,Employment,Salary
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",40205.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,"Employed, full-time",215232.0
Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,"Employed, full-time",49056.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",60307.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time;Independent contractor, freelancer, or self-employed",194400.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",65000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time;Independent contractor, freelancer, or self-employed",110000.0
Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",19224.0
Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,"Employed, full-time",202623.0
Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,"Employed, full-time",51192.0
Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",34126.0
Canada,Something else,20,"Employed, full-time",97605.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,"Employed, full-time",90647.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",106960.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,"Employed, full-time",130000.0
Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,"Employed, full-time;Independent contractor, freelancer, or self-employed",1663644.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,"Employed, full-time",102000.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Independent contractor, freelancer, or self-employed",83256.0
United States of America,"Associate degree (A.A., A.S., etc.)",15,"Employed, full-time",130000.0
Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,"Employed, full-time",68160.0
Madagascar,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,"Employed, full-time",5124.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",135000.0
Germany,Some college/university study without earning a degree,25,"Employed, full-time",106644.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,"Employed, full-time",51192.0
Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",38856.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",170000.0
Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",103705.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",141000.0
Taiwan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",55163.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,"Employed, full-time",46704.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",63986.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",66372.0
France,"Professional degree (JD, MD, etc.)",14,"Employed, full-time",74651.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",150000.0
Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",24924.0
Uruguay,Some college/university study without earning a degree,15,"Employed, full-time",38808.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",63986.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",50220.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",160000.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,"Employed, full-time",87448.0
Uruguay,Some college/university study without earning a degree,20,"Employed, full-time",150000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",69102.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",95000.0
Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,"Employed, full-time",95979.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,"Employed, full-time",71451.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",57288.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",63986.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,"Employed, full-time",63986.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",166000.0
United Kingdom of Great Britain and Northern Ireland,"Other doctoral degree (Ph.D., Ed.D., etc.)",3,"Employed, full-time",52769.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",92000.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",143484.0
United States of America,Some college/university study without earning a degree,22,"Independent contractor, freelancer, or self-employed",450000.0
Turkey,"Associate degree (A.A., A.S., etc.)",7,"Employed, full-time",12024.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,"Employed, full-time;Independent contractor, freelancer, or self-employed",79983.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",47743.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,"Employed, full-time",200000.0
Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",93420.0
United States of America,Some college/university study without earning a degree,5,"Employed, full-time",35000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",75384.0
Spain,Some college/university study without earning a degree,8,"Employed, full-time",44790.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",78525.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",76313.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,"Employed, full-time;Independent contractor, freelancer, or self-employed",130000.0
Uruguay,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,"Employed, full-time",26868.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",110000.0
United States of America,Some college/university study without earning a degree,28,"Employed, full-time;Independent contractor, freelancer, or self-employed",6000000.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",66372.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",81672.0
Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time;Independent contractor, freelancer, or self-employed",45300.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,"Employed, full-time",21120.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",78084.0
Italy,Some college/university study without earning a degree,15,"Employed, full-time",614268.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",98000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,"Employed, full-time",144000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,"Employed, full-time",123127.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",197292.0
Singapore,"Other doctoral degree (Ph.D., Ed.D., etc.)",8,"Employed, full-time",1571124.0
Uruguay,Some college/university study without earning a degree,15,"Employed, full-time;Independent contractor, freelancer, or self-employed",103500.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",35138.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,"Employed, full-time",80409.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",15480.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,"Employed, full-time",200000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",904608.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",132000.0
Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Employed, full-time",63984.0
Germany,"Other doctoral degree (Ph.D., Ed.D., etc.)",7,"Employed, full-time",92136.0
Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,"Employed, full-time",32712.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",38388.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,"Employed, full-time",165298.0
Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",106644.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",136000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",331692.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",54025.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45,"Employed, full-time",400000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,"Employed, full-time",130000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,"Employed, full-time",136947.0
Poland,Some college/university study without earning a degree,6,"Employed, full-time",41625.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,"Employed, full-time",200000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,"Employed, full-time",118729.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,"Employed, full-time",1130760.0
